rt,stimulus,response,trial_type,time_elapsed,task,question_order,wid
2470.0,"
      <div class=""instructions"">
        <p class=""center""> Welcome to the experiment. <br><br>

        Press any key to begin. <br><br>


        There may be a short delay as the experiment loads. 
        </p>
      </div>
      ",enter,html-keyboard-response,2473,,,w0e1d2bf
13222.900000035763,"
        <div class=""instructions"">
          <p>In this experiment, we are interested in understanding how people make similarity judgements. We will ask you to rate the similarity of different pictures. Each picture is a collection of 2-5 shapes of different shading, and will look something like this: <br>
          <img src='static/images/T_1.svg' style=""width:30%;padding:10px;""></img> 
          <br>
          In the <em>familiarization</em> phase, we will present the pictures <b> one at a time </b> so that you can become familiar with them. Simply observe the picture, and when the instruction appears press any key to move on to the next one.<br>
          <br>
          <br>
          In the <em>rating</em> phase, we will present the pictures <b> two at a time</b>, and ask you to rate the similarity of two pictures by clicking a button on the screen. <br>
          <br>
          <br>
          Press any key to continue.</p>
        </div>
      ",enter,html-keyboard-response,15701,,,w0e1d2bf
5316.699999988079,"
        <div class=""instructions"">
        <p>In this <em>familiarization</em> phase, we will show you the pictures that we will be using in this experiment <b> one at a time </b> so that you can become familiar with them. There will be 25 pictures. 
        <br>
        <br>
        Simply observe the picture, and when the instruction appears press any key to move on to the next one. <br>
        <br>
        Press any key to continue.</p>
        </div>
      ",enter,html-keyboard-response,21524,,,w0e1d2bf
,"
                <div class=""training"">
                <img src=""static/images/B_4.svg"" width=""45%""></img>
                <p> &nbsp </p>
                </div>",,html-keyboard-response,25046,training_watch,,w0e1d2bf
1402.6000000238419,"
                <div class=""training""> 
                <img src=""static/images/B_4.svg"" width=""45%""></img>
                <p> Press any key to continue. </p>
                </div>
                ",enter,html-keyboard-response,26452,training_response,,w0e1d2bf
,"
                <div class=""training"">
                <img src=""static/images/B_5.svg"" width=""45%""></img>
                <p> &nbsp </p>
                </div>",,html-keyboard-response,29464,training_watch,,w0e1d2bf
1258.7999999523163,"
                <div class=""training""> 
                <img src=""static/images/B_5.svg"" width=""45%""></img>
                <p> Press any key to continue. </p>
                </div>
                ",enter,html-keyboard-response,30725,training_response,,w0e1d2bf
,"
                <div class=""training"">
                <img src=""static/images/T_1.svg"" width=""45%""></img>
                <p> &nbsp </p>
                </div>",,html-keyboard-response,33730,training_watch,,w0e1d2bf
5021.599999964237,"
                <div class=""training""> 
                <img src=""static/images/T_1.svg"" width=""45%""></img>
                <p> Press any key to continue. </p>
                </div>
                ",enter,html-keyboard-response,38753,training_response,,w0e1d2bf
,"
                <div class=""training"">
                <img src=""static/images/C_2.svg"" width=""45%""></img>
                <p> &nbsp </p>
                </div>",,html-keyboard-response,41766,training_watch,,w0e1d2bf
