session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
6201bf624b21383881444640,604b9e6373c491acd8aec923,APPROVED,2022-02-08 00:55:02.119000,2022-02-08 01:00:56.356000,354.237,42,1192,7,99,2022-02-08 17:15:19.337000,1AE5690E,United States,United States,Full-Time,English,United States,Male,No
6201bf64f6cf3e7614030e90,588021688e1ad5000142dfdf,APPROVED,2022-02-08 00:55:02.423000,2022-02-08 01:00:41.314000,338.891,23,85,0,100,2022-02-08 17:15:19.493000,1AE5690E,United States,United States,Full-Time,English,United States,Female,No
6201bf71917918dfb2ae1e2c,5ba292385301b80001c71ba2,APPROVED,2022-02-08 00:55:15.594000,2022-02-08 01:00:36.201000,320.607,48,3262,4,100,2022-02-08 17:15:19.615000,1AE5690E,United States,United States,Full-Time,English,United States,Male,No
6201bf77e4bf9be7bcc6ab6d,60b63b1f1d8a6fc4d72d5328,APPROVED,2022-02-08 00:55:24.331000,2022-02-08 01:01:53.662000,389.331,55,554,1,100,2022-02-08 17:15:19.739000,1AE5690E,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
6201bf7d6a3ad5f2dbb74d80,5f23ff398626c51fdd6c3fb5,APPROVED,2022-02-08 00:57:34.615000,2022-02-08 01:03:59.116000,384.501,40,1673,6,100,2022-02-08 17:15:19.830000,1AE5690E,United States,United States,Full-Time,English,United States,Female,No
6201bf80f09ce7271e6d5928,5be0f2c478a95e000186d639,APPROVED,2022-02-08 00:55:33.408000,2022-02-08 01:20:58.476000,1525.068,35,1248,1,100,2022-02-08 17:15:19.938000,1AE5690E,United States,United States,Full-Time,English,United States,Female,No
6201bfbb858bf0bbe4be119e,5cfb5233df7d70001619ca90,APPROVED,2022-02-08 00:56:31.346000,2022-02-08 01:06:11.284000,579.938,24,1105,2,100,2022-02-08 17:15:20.116000,1AE5690E,United States,United States,DATA EXPIRED,English,United States,Male,Yes
6201bfc1d021f988f8913d0f,5d5c25578af5fd0001ef3aee,APPROVED,2022-02-08 00:56:38.736000,2022-02-08 17:16:51.034000,58812.298,41,2148,9,99,2022-02-08 17:16:51.783000,Manual Completion,United States,United States,Full-Time,English,United States,Female,No
6201bfc51d2229288935d527,5c2805401d4eb70001177bfc,APPROVED,2022-02-08 00:56:40.812000,2022-02-08 01:04:12.221000,451.409,35,1944,1,100,2022-02-08 17:15:20.280000,1AE5690E,United States,United States,Part-Time,English,United States,Female,No
6201bfcac9bad7ed3ed31f7a,61115d821fe239854dfcdf13,APPROVED,2022-02-08 00:56:44.133000,2022-02-08 01:04:04.519000,440.386,24,303,1,100,2022-02-08 17:15:20.411000,1AE5690E,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6201bfcc174c517f452c1226,5baa535fa3c9170001156197,APPROVED,2022-02-08 00:56:44.205000,2022-02-08 01:06:06.681000,562.476,32,1802,7,99,2022-02-08 17:15:20.604000,1AE5690E,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6201bfd1f96f9eaeba80c6a5,5df3512f6552ef236f57ed05,APPROVED,2022-02-08 00:57:23.885000,2022-02-08 01:03:37.947000,374.062,38,942,2,100,2022-02-08 17:15:20.739000,1AE5690E,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6201bfd58a9a0d5c52e7e774,60fe0d4a040e416585545db1,APPROVED,2022-02-08 00:56:57.760000,2022-02-08 01:04:20.536000,442.776,19,68,1,100,2022-02-08 17:15:20.905000,NOCODE,Canada,Canada,DATA EXPIRED,English,Canada,Female,DATA EXPIRED
6201bfe3bfa7285d2448d9f1,5f36bde6d3369c0cadac39bf,APPROVED,2022-02-08 00:59:55.972000,2022-02-08 01:11:44.554000,708.582,51,1299,4,100,2022-02-08 17:15:21.017000,1AE5690E,United States,United States,Full-Time,English,United States,Male,No
6201bfeb715538de9aeb4bf7,611c23e8d191b0f6005626db,APPROVED,2022-02-08 00:57:15.135000,2022-02-08 01:02:02.286000,287.151,30,97,0,100,2022-02-08 17:15:21.159000,1AE5690E,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,Yes
6201bffa917918dfb2ae1e31,615347ff7ff5494004c64604,APPROVED,2022-02-08 00:57:44.773000,2022-02-08 01:13:51.173000,966.4,22,372,3,100,2022-02-08 17:15:21.322000,1AE5690E,United States,United States,Full-Time,English,United States,Female,Yes
